"2,447,000",8/30/2025,"MS 17.1: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",Pause
"2,447,000",9/30/2025,"MS 17.2: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",Pause
"2,447,000",10/30/2025,"MS 17.3: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",Pause
"2,447,000",11/30/2025,"MS 17.4: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",Pause
"2,447,000",12/30/2025,"MS 17.5: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",Pause
"2,447,000",1/30/2026,"MS 17.6: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",2/28/2026,"MS 17.7: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",3/30/2026,"MS 17.8: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",4/30/2026,"MS 17.9: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",5/30/2026,"MS 17.10: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",6/30/2026,"MS 17.11: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"2,447,000",7/31/2026,"MS 17.12: Monthly Maintenance and Support
Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee",
"477,867",10/30/2025,"MS 18.1: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",Pause
"477,867",11/30/2025,"MS 18.2: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",Pause
"477,867",12/30/2025,"MS 18.3: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",Pause
"477,867",1/30/2026,"MS 18.4: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
"477,867",2/28/2026,"MS 18.5: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
"477,867",3/30/2026,"MS 18.6: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
"477,867",4/30/2026,"MS 18.7: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
"477,867",5/30/2026,"MS 18.8: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
"477,864",6/30/2026,"MS 18.9: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables.
Deliverables: Reports that accompany key deliverables.",
